"source","target","state","countyname","n1"
"12086","37179","NC","Union County","32"
"12086","13139","GA","Hall County","31"
"12086","13215","GA","Muscogee County","31"
"12086","25023","MA","Plymouth County","31"
"12086","35001","NM","Bernalillo County","31"
"12086","13117","GA","Forsyth County","30"
"12086","13223","GA","Paulding County","30"
"12086","24005","MD","Baltimore County","30"
"12086","36055","NY","Monroe County","30"
"12086","37097","NC","Iredell County","30"
"12086","55079","WI","Milwaukee County","30"
"12086","13153","GA","Houston County","29"
"12086","20091","KS","Johnson County","29"
"12086","26161","MI","Washtenaw County","29"
"12086","37135","NC","Orange County","29"
"12086","51087","VA","Henrico County","29"
"12086","34005","NJ","Burlington County","28"
"12086","35025","NM","Lea County","28"
"12086","36029","NY","Erie County","28"
"12086","47125","TN","Montgomery County","28"
"12086","51041","VA","Chesterfield County","28"
"12086","13179","GA","Liberty County","27"
"12086","13247","GA","Rockdale County","27"
"12086","19021","IA","Buena Vista County","27"
"12086","36067","NY","Onondaga County","27"
"12086","42071","PA","Lancaster County","27"
"12086","45083","SC","Spartanburg County","27"
"12086","47187","TN","Williamson County","27"
"12086","48039","TX","Brazoria County","27"
"12086","48355","TX","Nueces County","27"
"12086","06067","CA","Sacramento County","26"
"12086","13313","GA","Whitfield County","26"
"12086","17097","IL","Lake County","26"
"12086","21067","KY","Fayette County","26"
"12086","25001","MA","Barnstable County","26"
"12086","45015","SC","Berkeley County","26"
"12086","08069","CO","Larimer County","25"
"12086","13045","GA","Carroll County","25"
"12086","13217","GA","Newton County","25"
"12086","22033","LA","East Baton Rouge Parish","25"
"12086","34007","NJ","Camden County","25"
"12086","37089","NC","Henderson County","25"
"12086","41067","OR","Washington County","25"
"12086","45091","SC","York County","25"
"12086","51550","VA","Chesapeake city","25"
"12086","05119","AR","Pulaski County","24"
"12086","36087","NY","Rockland County","24"
"12086","37101","NC","Johnston County","24"
"12086","40109","OK","Oklahoma County","24"
"12086","42077","PA","Lehigh County","24"
"12086","51700","VA","Newport News city","24"
"12086","55025","WI","Dane County","24"
"12086","01101","AL","Montgomery County","23"
"12086","06111","CA","Ventura County","23"
"12086","08035","CO","Douglas County","23"
"12086","45013","SC","Beaufort County","23"
"12086","01089","AL","Madison County","22"
"12086","12113","FL","Santa Rosa County","22"
"12086","13095","GA","Dougherty County","22"
"12086","13127","GA","Glynn County","22"
"12086","18017","IN","Cass County","22"
"12086","29510","MO","St. Louis city","22"
"12086","34021","NJ","Mercer County","22"
"12086","34029","NJ","Ocean County","22"
"12086","42017","PA","Bucks County","22"
"12086","42029","PA","Chester County","22"
"12086","06029","CA","Kern County","21"
"12086","06097","CA","Sonoma County","21"
"12086","09011","CT","New London County","21"
"12086","12093","FL","Okeechobee County","21"
"12086","12107","FL","Putnam County","21"
"12086","13077","GA","Coweta County","21"
"12086","26065","MI","Ingham County","21"
"12086","48167","TX","Galveston County","21"
"12086","13113","GA","Fayette County","20"
"12086","18057","IN","Hamilton County","20"
"12086","24045","MD","Wicomico County","20"
"12086","29021","MO","Buchanan County","20"
"12086","31055","NE","Douglas County","20"
"12086","35015","NM","Eddy County","20"
"12086","40143","OK","Tulsa County","20"
"12086","51710","VA","Norfolk city","20"
"12011","12086","FL","Miami-Dade County","10196"
"12099","12086","FL","Miami-Dade County","1444"
"36061","12086","FL","Miami-Dade County","906"
"12095","12086","FL","Miami-Dade County","879"
"12057","12086","FL","Miami-Dade County","850"
"06037","12086","FL","Miami-Dade County","562"
"12071","12086","FL","Miami-Dade County","548"
"48201","12086","FL","Miami-Dade County","532"
"36047","12086","FL","Miami-Dade County","522"
"36081","12086","FL","Miami-Dade County","510"
"17031","12086","FL","Miami-Dade County","455"
"12087","12086","FL","Miami-Dade County","426"
"12021","12086","FL","Miami-Dade County","320"
"48453","12086","FL","Miami-Dade County","304"
"32003","12086","FL","Miami-Dade County","287"
"12031","12086","FL","Miami-Dade County","286"
"34017","12086","FL","Miami-Dade County","265"
"12103","12086","FL","Miami-Dade County","232"
"12073","12086","FL","Miami-Dade County","221"
"36005","12086","FL","Miami-Dade County","217"
"13121","12086","FL","Miami-Dade County","208"
"12111","12086","FL","Miami-Dade County","205"
"06073","12086","FL","Miami-Dade County","200"
"12097","12086","FL","Miami-Dade County","197"
"12105","12086","FL","Miami-Dade County","197"
"36059","12086","FL","Miami-Dade County","195"
"11001","12086","FL","Miami-Dade County","193"
"48113","12086","FL","Miami-Dade County","186"
"04013","12086","FL","Miami-Dade County","183"
"25025","12086","FL","Miami-Dade County","183"
"12001","12086","FL","Miami-Dade County","181"
"12117","12086","FL","Miami-Dade County","179"
"25017","12086","FL","Miami-Dade County","166"
"12009","12086","FL","Miami-Dade County","164"
"34003","12086","FL","Miami-Dade County","164"
"51059","12086","FL","Miami-Dade County","156"
"24031","12086","FL","Miami-Dade County","150"
"09001","12086","FL","Miami-Dade County","148"
"36119","12086","FL","Miami-Dade County","145"
"12127","12086","FL","Miami-Dade County","138"
"21111","12086","FL","Miami-Dade County","138"
"42101","12086","FL","Miami-Dade County","135"
"13135","12086","FL","Miami-Dade County","134"
"37119","12086","FL","Miami-Dade County","131"
"12081","12086","FL","Miami-Dade County","126"
"36103","12086","FL","Miami-Dade County","120"
"48029","12086","FL","Miami-Dade County","120"
"08041","12086","FL","Miami-Dade County","115"
"34039","12086","FL","Miami-Dade County","115"
"13089","12086","FL","Miami-Dade County","110"
"13067","12086","FL","Miami-Dade County","109"
"53033","12086","FL","Miami-Dade County","108"
"12115","12086","FL","Miami-Dade County","107"
"06075","12086","FL","Miami-Dade County","105"
"06059","12086","FL","Miami-Dade County","104"
"34013","12086","FL","Miami-Dade County","103"
"12101","12086","FL","Miami-Dade County","100"
"48439","12086","FL","Miami-Dade County","93"
"37183","12086","FL","Miami-Dade County","92"
"06065","12086","FL","Miami-Dade County","91"
"47037","12086","FL","Miami-Dade County","89"
"06085","12086","FL","Miami-Dade County","84"
"12083","12086","FL","Miami-Dade County","81"
"06001","12086","FL","Miami-Dade County","79"
"09003","12086","FL","Miami-Dade County","78"
"34023","12086","FL","Miami-Dade County","77"
"42003","12086","FL","Miami-Dade County","76"
"51013","12086","FL","Miami-Dade County","73"
"15003","12086","FL","Miami-Dade County","70"
"08031","12086","FL","Miami-Dade County","68"
"39035","12086","FL","Miami-Dade County","68"
"12069","12086","FL","Miami-Dade County","67"
"24033","12086","FL","Miami-Dade County","64"
"25021","12086","FL","Miami-Dade County","64"
"22051","12086","FL","Miami-Dade County","63"
"34031","12086","FL","Miami-Dade County","63"
"25009","12086","FL","Miami-Dade County","62"
"13063","12086","FL","Miami-Dade County","61"
"44007","12086","FL","Miami-Dade County","61"
"27053","12086","FL","Miami-Dade County","60"
"51810","12086","FL","Miami-Dade County","60"
"12061","12086","FL","Miami-Dade County","59"
"26125","12086","FL","Miami-Dade County","59"
"51107","12086","FL","Miami-Dade County","59"
"06071","12086","FL","Miami-Dade County","57"
"47157","12086","FL","Miami-Dade County","56"
"48085","12086","FL","Miami-Dade County","56"
"18097","12086","FL","Miami-Dade County","55"
"09009","12086","FL","Miami-Dade County","54"
"12005","12086","FL","Miami-Dade County","53"
"12085","12086","FL","Miami-Dade County","53"
"48141","12086","FL","Miami-Dade County","53"
"17043","12086","FL","Miami-Dade County","52"
"12109","12086","FL","Miami-Dade County","51"
"24005","12086","FL","Miami-Dade County","50"
"04019","12086","FL","Miami-Dade County","49"
"24510","12086","FL","Miami-Dade County","49"
"42091","12086","FL","Miami-Dade County","49"
"12015","12086","FL","Miami-Dade County","48"
"12019","12086","FL","Miami-Dade County","48"
"34025","12086","FL","Miami-Dade County","48"
"48157","12086","FL","Miami-Dade County","48"
"12051","12086","FL","Miami-Dade County","46"
"12055","12086","FL","Miami-Dade County","46"
"17097","12086","FL","Miami-Dade County","46"
"22071","12086","FL","Miami-Dade County","46"
"34027","12086","FL","Miami-Dade County","46"
"42071","12086","FL","Miami-Dade County","46"
"51510","12086","FL","Miami-Dade County","46"
"06013","12086","FL","Miami-Dade County","45"
"25027","12086","FL","Miami-Dade County","45"
"39049","12086","FL","Miami-Dade County","45"
"13051","12086","FL","Miami-Dade County","44"
"29095","12086","FL","Miami-Dade County","44"
"36085","12086","FL","Miami-Dade County","44"
"37051","12086","FL","Miami-Dade County","44"
"41051","12086","FL","Miami-Dade County","44"
"48121","12086","FL","Miami-Dade County","44"
"31079","12086","FL","Miami-Dade County","42"
"08005","12086","FL","Miami-Dade County","41"
"12033","12086","FL","Miami-Dade County","41"
"12053","12086","FL","Miami-Dade County","41"
"36029","12086","FL","Miami-Dade County","41"
"06081","12086","FL","Miami-Dade County","40"
"12091","12086","FL","Miami-Dade County","40"
"24003","12086","FL","Miami-Dade County","40"
"36055","12086","FL","Miami-Dade County","40"
"49035","12086","FL","Miami-Dade County","40"
"10003","12086","FL","Miami-Dade County","39"
"26163","12086","FL","Miami-Dade County","38"
"35001","12086","FL","Miami-Dade County","37"
"37133","12086","FL","Miami-Dade County","37"
"51153","12086","FL","Miami-Dade County","37"
"06067","12086","FL","Miami-Dade County","35"
"37063","12086","FL","Miami-Dade County","35"
"08059","12086","FL","Miami-Dade County","34"
"29189","12086","FL","Miami-Dade County","34"
"34029","12086","FL","Miami-Dade County","34"
"48339","12086","FL","Miami-Dade County","34"
"45019","12086","FL","Miami-Dade County","33"
"53053","12086","FL","Miami-Dade County","33"
"12035","12086","FL","Miami-Dade County","32"
"36087","12086","FL","Miami-Dade County","32"
"48215","12086","FL","Miami-Dade County","32"
"25023","12086","FL","Miami-Dade County","31"
"26081","12086","FL","Miami-Dade County","31"
"42077","12086","FL","Miami-Dade County","31"
"13151","12086","FL","Miami-Dade County","30"
"26161","12086","FL","Miami-Dade County","30"
"45079","12086","FL","Miami-Dade County","30"
"55079","12086","FL","Miami-Dade County","30"
"45045","12086","FL","Miami-Dade County","29"
"51087","12086","FL","Miami-Dade County","29"
"51710","12086","FL","Miami-Dade County","29"
"34001","12086","FL","Miami-Dade County","28"
"37081","12086","FL","Miami-Dade County","28"
"42045","12086","FL","Miami-Dade County","28"
"39061","12086","FL","Miami-Dade County","27"
"42017","12086","FL","Miami-Dade County","27"
"42029","12086","FL","Miami-Dade County","27"
"08001","12086","FL","Miami-Dade County","26"
"34005","12086","FL","Miami-Dade County","26"
"36067","12086","FL","Miami-Dade County","26"
"45013","12086","FL","Miami-Dade County","26"
"36071","12086","FL","Miami-Dade County","25"
"42011","12086","FL","Miami-Dade County","25"
"55025","12086","FL","Miami-Dade County","24"
"20091","12086","FL","Miami-Dade County","23"
"21067","12086","FL","Miami-Dade County","23"
"48027","12086","FL","Miami-Dade County","23"
"34021","12086","FL","Miami-Dade County","22"
"34035","12086","FL","Miami-Dade County","22"
"48491","12086","FL","Miami-Dade County","22"
"09011","12086","FL","Miami-Dade County","21"
"33011","12086","FL","Miami-Dade County","21"
"37067","12086","FL","Miami-Dade County","21"
"47093","12086","FL","Miami-Dade County","21"
"48167","12086","FL","Miami-Dade County","21"
"40109","12086","FL","Miami-Dade County","20"
"45015","12086","FL","Miami-Dade County","20"
"45083","12086","FL","Miami-Dade County","20"
